"site","year","type","abund_code","species_code","name"
13,1992,"tree",1,241.00,"Northern White Cedar"
13,1993,"tree",1,95.00,"Black Spruce"
13,1994,"tree",1,241.00,"Northern White Cedar"
14,1991,"tree",1,12.00,"Balsam Fir"
14,1992,"tree",1,12.00,"Balsam Fir"
14,1993,"tree",1,12.00,"Balsam Fir"
14,1994,"tree",1,746.00,"Quaking Aspen"
15,1991,"tree",1,12.00,"Balsam Fir"
15,1992,"tree",1,94.00,"White Spruce"
15,1993,"tree",1,94.00,"White Spruce"
15,1994,"tree",1,12.00,"Balsam Fir"
16,1991,"tree",1,241.00,"Northern White Cedar"
16,1992,"tree",1,241.00,"Northern White Cedar"
16,1993,"tree",1,241.00,"Northern White Cedar"
16,1994,"tree",1,241.00,"Northern White Cedar"
17,1991,"tree",1,543.00,"Black Ash"
17,1992,"tree",1,543.00,"Black Ash"
17,1993,"tree",1,241.00,"Northern White Cedar"
17,1994,"tree",1,241.00,"Northern White Cedar"
18,1991,"tree",1,375.00,"Paper Birch"
18,1992,"tree",1,95.00,"Black Spruce"
18,1993,"tree",1,12.00,"Balsam Fir"
18,1994,"tree",1,241.00,"Northern White Cedar"
19,1991,"tree",1,544.00,"Green Ash"
19,1992,"tree",1,543.00,"Black Ash"
19,1993,"tree",1,543.00,"Black Ash"
19,1994,"tree",1,543.00,"Black Ash"
20,1991,"tree",1,544.00,"Green Ash"
20,1992,"tree",1,241.00,"Northern White Cedar"
20,1993,"tree",1,241.00,"Northern White Cedar"
20,1994,"tree",1,241.00,"Northern White Cedar"
21,1991,"tree",1,12.00,"Balsam Fir"
21,1992,"tree",1,543.00,"Black Ash"
21,1993,"tree",1,543.00,"Black Ash"
21,1994,"tree",1,241.00,"Northern White Cedar"
22,1991,"tree",1,241.00,"Northern White Cedar"
22,1992,"tree",1,95.00,"Black Spruce"
22,1993,"tree",1,241.00,"Northern White Cedar"
22,1994,"tree",1,746.00,"Quaking Aspen"
23,1991,"tree",1,12.00,"Balsam Fir"
23,1992,"tree",1,95.00,"Black Spruce"
23,1993,"tree",1,241.00,"Northern White Cedar"
23,1994,"tree",1,12.00,"Balsam Fir"
24,1991,"tree",1,241.00,"Northern White Cedar"
24,1992,"tree",1,12.00,"Balsam Fir"
24,1993,"tree",1,241.00,"Northern White Cedar"
24,1994,"tree",1,12.00,"Balsam Fir"
25,1991,"tree",1,241.00,"Northern White Cedar"
25,1992,"tree",1,95.00,"Black Spruce"
25,1993,"tree",1,95.00,"Black Spruce"
25,1994,"tree",1,95.00,"Black Spruce"
26,1991,"tree",1,12.00,"Balsam Fir"
26,1992,"tree",1,95.00,"Black Spruce"
26,1993,"tree",1,71.00,"Tamarack"
26,1994,"tree",1,241.00,"Northern White Cedar"
27,1991,"tree",1,241.00,"Northern White Cedar"
27,1992,"tree",1,95.00,"Black Spruce"
27,1993,"tree",1,95.00,"Black Spruce"
27,1994,"tree",1,71.00,"Tamarack"
28,1991,"tree",1,241.00,"Northern White Cedar"
28,1992,"tree",1,71.00,"Tamarack"
28,1994,"tree",1,543.00,"Black Ash"
29,1991,"tree",1,746.00,"Quaking Aspen"
29,1992,"tree",1,12.00,"Balsam Fir"
29,1994,"tree",1,12.00,"Balsam Fir"
30,1991,"tree",1,241.00,"Northern White Cedar"
30,1992,"tree",1,241.00,"Northern White Cedar"
30,1994,"tree",1,95.00,"Black Spruce"
31,1991,"tree",1,746.00,"Quaking Aspen"
31,1992,"tree",1,746.00,"Quaking Aspen"
31,1993,"tree",1,746.00,"Quaking Aspen"
31,1994,"tree",1,746.00,"Quaking Aspen"
32,1991,"tree",1,746.00,"Quaking Aspen"
32,1992,"tree",1,746.00,"Quaking Aspen"
32,1993,"tree",1,746.00,"Quaking Aspen"
32,1994,"tree",1,746.00,"Quaking Aspen"
33,1991,"tree",1,746.00,"Quaking Aspen"
33,1992,"tree",1,746.00,"Quaking Aspen"
33,1993,"tree",1,746.00,"Quaking Aspen"
33,1994,"tree",1,746.00,"Quaking Aspen"
34,1991,"tree",1,746.00,"Quaking Aspen"
34,1992,"tree",1,746.00,"Quaking Aspen"
34,1994,"tree",1,746.00,"Quaking Aspen"
35,1991,"tree",1,746.00,"Quaking Aspen"
35,1992,"tree",1,746.00,"Quaking Aspen"
35,1994,"tree",1,746.00,"Quaking Aspen"
36,1991,"tree",1,746.00,"Quaking Aspen"
36,1992,"tree",1,746.00,"Quaking Aspen"
36,1994,"tree",1,746.00,"Quaking Aspen"
37,1991,"tree",1,746.00,"Quaking Aspen"
37,1992,"tree",1,746.00,"Quaking Aspen"
37,1994,"tree",1,746.00,"Quaking Aspen"
38,1991,"tree",1,12.00,"Balsam Fir"
38,1992,"tree",1,12.00,"Balsam Fir"
38,1994,"tree",1,12.00,"Balsam Fir"
39,1991,"tree",1,241.00,"Northern White Cedar"
39,1992,"tree",1,241.00,"Northern White Cedar"
39,1994,"tree",1,12.00,"Balsam Fir"
40,1991,"tree",1,833.00,"Northern Red Oak"
40,1992,"tree",1,833.00,"Northern Red Oak"
40,1993,"tree",1,833.00,"Northern Red Oak"
40,1994,"tree",1,833.00,"Northern Red Oak"
41,1991,"tree",1,746.00,"Quaking Aspen"
41,1992,"tree",1,746.00,"Quaking Aspen"
41,1993,"tree",1,12.00,"Balsam Fir"
41,1994,"tree",1,125.00,"Red Pine"
42,1991,"tree",1,746.00,"Quaking Aspen"
42,1994,"tree",1,125.00,"Red Pine"
43,1991,"tree",1,746.00,"Quaking Aspen"
43,1992,"tree",1,129.00,"White Pine"
43,1993,"tree",1,129.00,"White Pine"
43,1994,"tree",1,375.00,"Paper Birch"
44,1991,"tree",1,316.00,"Red Maple"
44,1992,"tree",1,833.00,"Northern Red Oak"
44,1993,"tree",1,833.00,"Northern Red Oak"
44,1994,"tree",1,833.00,"Northern Red Oak"
45,1991,"tree",1,833.00,"Northern Red Oak"
45,1992,"tree",1,316.00,"Red Maple"
45,1993,"tree",1,375.00,"Paper Birch"
45,1994,"tree",1,833.00,"Northern Red Oak"
46,1992,"tree",1,823.00,"Burr Oak"
46,1993,"tree",1,970.00,"Elm"
46,1994,"tree",1,970.00,"Elm"
47,1991,"tree",1,375.00,"Paper Birch"
47,1992,"tree",1,823.00,"Burr Oak"
47,1993,"tree",1,833.00,"Northern Red Oak"
47,1994,"tree",1,833.00,"Northern Red Oak"
48,1991,"tree",1,823.00,"Burr Oak"
48,1992,"tree",1,823.00,"Burr Oak"
48,1993,"tree",1,823.00,"Burr Oak"
48,1994,"tree",1,823.00,"Burr Oak"
49,1991,"tree",1,746.00,"Quaking Aspen"
49,1992,"tree",1,746.00,"Quaking Aspen"
49,1993,"tree",1,746.00,"Quaking Aspen"
49,1994,"tree",1,746.00,"Quaking Aspen"
50,1991,"tree",1,746.00,"Quaking Aspen"
50,1992,"tree",1,746.00,"Quaking Aspen"
50,1993,"tree",1,746.00,"Quaking Aspen"
50,1994,"tree",1,746.00,"Quaking Aspen"
51,1991,"tree",1,746.00,"Quaking Aspen"
51,1992,"tree",1,746.00,"Quaking Aspen"
