"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"123","Black spruce","not used","Bl. spruce/Tamarack","regeneration","regen","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","not used","not used"
"124","Black spruce","bs pole","Bl. spruce/Tamarack","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"125","Black spruce","bs pole","Bl. spruce/Tamarack","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"126","Black spruce","bs pole","Bl. spruce/Tamarack","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"127","Black spruce",,"Bl. spruce/Tamarack","saw",,"non-regen",,,"lowl conif",,,,,
"128","Black spruce",,"Bl. spruce/Tamarack","saw",,"non-regen",,,"lowl conif",,,,,
"129","Black spruce",,"Bl. spruce/Tamarack","saw",,"non-regen",,,"lowl conif",,,,,
"141","Cedar",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
"142","Cedar",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
"143","Cedar",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
"144","Cedar","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"145","Cedar","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"146","Cedar","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"147","Cedar","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"148","Cedar","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"149","Cedar","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"151","Tamarack",,"Tamarack/Bl. spruce","regeneration",,"non-regen",,,"not used",,,,,
"152","Tamarack",,"Tamarack/Bl. spruce","regeneration",,"non-regen",,,"not used",,,,,
"153","Tamarack",,"Tamarack/Bl. spruce","regeneration",,"non-regen",,,"not used",,,,,
