"forest","standunique","site"
9030.00,257.00,146
9030.00,259.00,130
9030.00,259.00,131
9030.00,260.00,138
9030.00,260.00,137
9030.00,261.00,141
9030.00,261.00,139
9030.00,262.00,386
9030.00,262.00,388
9030.00,265.00,380
9030.00,265.00,382
9030.00,266.00,62
9030.00,266.00,63
9030.00,267.00,64
9030.00,267.00,65
9030.00,268.00,72
9030.00,268.00,70
9030.00,269.00,67
9030.00,269.00,69
9030.00,270.00,129
9030.00,270.00,127
9030.00,271.00,118
9030.00,271.00,120
9030.00,272.00,123
9030.00,272.00,122
9030.00,273.00,126
9030.00,273.00,125
9030.00,274.00,185
9030.00,274.00,187
9030.00,275.00,189
9030.00,275.00,188
9030.00,276.00,192
9030.00,276.00,191
9030.00,277.00,184
9030.00,277.00,183
9030.00,278.00,59
9030.00,278.00,57
9030.00,279.00,54
9030.00,279.00,52
9030.00,280.00,60
9030.00,280.00,56
9030.00,281.00,49
9030.00,281.00,51
9090.00,342.00,782
9090.00,342.00,783
9090.00,343.00,481
9090.00,343.00,479
9090.00,344.00,482
9090.00,344.00,484
9090.00,345.00,477
9090.00,345.00,478
9090.00,346.00,475
9090.00,346.00,473
9090.00,347.00,485
9090.00,347.00,486
9090.00,348.00,496
9090.00,348.00,495
9090.00,349.00,488
9090.00,349.00,489
9090.00,350.00,493
9090.00,350.00,492
9090.00,351.00,513
9090.00,351.00,512
9090.00,352.00,511
9090.00,352.00,510
9090.00,353.00,517
9090.00,353.00,515
9090.00,354.00,500
9090.00,354.00,502
9090.00,355.00,497
9090.00,355.00,499
9090.00,356.00,503
9090.00,356.00,505
9090.00,358.00,456
9090.00,358.00,457
9090.00,360.00,453
9090.00,360.00,454
9090.00,361.00,459
9090.00,361.00,458
9090.00,362.00,450
9090.00,362.00,449
9090.00,363.00,463
9090.00,363.00,461
9090.00,365.00,467
9090.00,365.00,469
9090.00,366.00,472
9090.00,366.00,471
9090.00,367.00,791
9090.00,367.00,793
9090.00,368.00,790
9090.00,368.00,788
9090.00,369.00,785
9090.00,369.00,786
9090.00,370.00,796
9090.00,370.00,794
9090.00,371.00,3021
9090.00,371.00,3023
9090.00,372.00,662
9090.00,372.00,664
9090.00,373.00,665
9090.00,373.00,666
9090.00,374.00,668
9090.00,374.00,669
9090.00,375.00,671
9090.00,375.00,673
9090.00,376.00,823
9090.00,376.00,821
9090.00,377.00,830
9090.00,377.00,831
9090.00,378.00,828
9090.00,378.00,827
9090.00,379.00,825
9090.00,379.00,826
9090.00,380.00,808
9090.00,380.00,806
9090.00,381.00,805
9090.00,381.00,803
9090.00,384.00,439
9090.00,384.00,437
9090.00,385.00,443
9090.00,385.00,445
9090.00,386.00,448
9090.00,386.00,446
9090.00,387.00,440
9090.00,387.00,442
9090.00,388.00,819
9090.00,388.00,820
9090.00,390.00,812
9090.00,390.00,814
9090.00,392.00,694
9090.00,392.00,692
9090.00,393.00,697
9090.00,393.00,695
9090.00,394.00,690
9090.00,394.00,691
9090.00,395.00,688
9090.00,395.00,686
9090.00,396.00,608
9090.00,396.00,609
9090.00,397.00,603
9090.00,397.00,602
9090.00,398.00,606
9090.00,398.00,607
9090.00,399.00,610
9090.00,399.00,611
9090.00,400.00,770
9090.00,400.00,772
9090.00,401.00,773
9090.00,401.00,775
9090.00,402.00,778
9090.00,402.00,777
9090.00,403.00,3012
9090.00,403.00,3013
9090.00,404.00,780
9090.00,404.00,779
9090.00,405.00,709
9090.00,405.00,707
9090.00,406.00,701
9090.00,406.00,703
9090.00,407.00,705
9090.00,407.00,706
9090.00,409.00,749
9090.00,409.00,750
9090.00,410.00,753
9090.00,410.00,752
9090.00,411.00,746
9090.00,411.00,747
9090.00,412.00,755
9090.00,412.00,757
9090.00,413.00,737
9090.00,413.00,739
9090.00,414.00,740
9090.00,414.00,741
9090.00,415.00,743
9090.00,415.00,744
9090.00,416.00,724
9090.00,416.00,722
9090.00,417.00,733
9090.00,417.00,732
9090.00,418.00,725
9090.00,418.00,727
9090.00,419.00,730
9090.00,419.00,728
9090.00,420.00,3029
9090.00,420.00,3027
9090.00,421.00,736
9090.00,421.00,734
9090.00,422.00,767
9090.00,422.00,769
9090.00,423.00,764
9090.00,423.00,766
9090.00,424.00,761
9090.00,424.00,763
9090.00,425.00,760
9090.00,425.00,759
9090.00,426.00,649
9090.00,426.00,647
9090.00,427.00,656
9090.00,427.00,658
9090.00,428.00,654
9090.00,428.00,653
9090.00,429.00,660
9090.00,429.00,659
9090.00,430.00,641
9090.00,430.00,643
9090.00,431.00,650
9090.00,431.00,652
9090.00,432.00,638
9090.00,432.00,639
9090.00,433.00,644
9090.00,433.00,646
9090.00,436.00,628
9090.00,436.00,626
9090.00,437.00,635
9090.00,437.00,637
9090.00,438.00,634
9090.00,438.00,633
9090.00,439.00,632
9090.00,439.00,631
9090.00,440.00,718
9090.00,440.00,719
9090.00,441.00,712
9090.00,441.00,710
9090.00,444.00,679
9090.00,444.00,677
9090.00,446.00,683
9090.00,446.00,685
9090.00,447.00,680
9090.00,447.00,681
9090.00,448.00,616
9090.00,448.00,615
9090.00,449.00,619
9090.00,449.00,617
9090.00,450.00,621
9090.00,450.00,622
9090.00,451.00,624
9090.00,451.00,623
9090.00,452.00,576
9090.00,452.00,575
9090.00,453.00,571
9090.00,453.00,572
9090.00,454.00,573
9090.00,454.00,569
9090.00,455.00,568
9090.00,455.00,567
9090.00,456.00,583
9090.00,456.00,581
9090.00,457.00,3008
9090.00,457.00,3006
9090.00,458.00,586
9090.00,458.00,584
9090.00,459.00,588
9090.00,459.00,587
9090.00,460.00,578
9090.00,460.00,580
9090.00,461.00,600
9090.00,461.00,601
9090.00,462.00,593
9090.00,462.00,595
9090.00,463.00,596
9090.00,463.00,598
9090.00,464.00,590
9090.00,464.00,591
9090.00,469.00,520
9090.00,469.00,522
9090.00,470.00,518
9090.00,470.00,523
9090.00,471.00,524
9090.00,471.00,526
9090.00,472.00,528
9090.00,472.00,529
9090.00,473.00,408
9090.00,473.00,407
9090.00,474.00,412
9090.00,474.00,410
9090.00,475.00,406
9090.00,475.00,405
9090.00,476.00,401
9090.00,476.00,403
9090.00,477.00,878
9090.00,477.00,880
9090.00,478.00,872
9090.00,478.00,874
9090.00,479.00,871
9090.00,479.00,869
9090.00,484.00,414
9090.00,484.00,417
9090.00,486.00,419
9090.00,486.00,421
9090.00,491.00,898
9090.00,491.00,900
9090.00,493.00,426
9090.00,493.00,427
9090.00,494.00,428
9090.00,494.00,430
9090.00,495.00,431
9090.00,495.00,436
9090.00,496.00,432
9090.00,496.00,433
9090.00,497.00,853
9090.00,497.00,855
9090.00,500.00,851
9090.00,500.00,849
9090.00,501.00,541
9090.00,501.00,539
9090.00,503.00,531
9090.00,503.00,530
9090.00,504.00,534
9090.00,504.00,533
9090.00,505.00,543
9090.00,505.00,542
9090.00,506.00,548
9090.00,506.00,549
