"site","x_coord","y_coord"
850.00,652045.93,5294548.00
849.00,652045.93,5294752.50
848.00,652029.37,5294957.00
847.00,651929.93,5295178.00
555.00,655984.75,5289971.00
565.00,655104.18,5288456.00
562.00,654908.12,5288916.00
558.00,654804.68,5289568.50
561.00,654808.25,5289882.00
560.00,654915.25,5290085.00
559.00,655057.81,5289864.00
889.00,659806.00,5285967.00
888.00,660051.68,5285962.50
887.00,660292.68,5285934.50
886.00,660529.06,5285888.50
884.00,660969.43,5285703.00
883.00,661368.00,5285828.00
882.00,661395.81,5285652.00
881.00,661400.50,5285457.50
844.00,644540.56,5287029.00
843.00,644532.81,5286793.50
842.00,644370.56,5286616.00
791.00,611043.87,5314049.50
537.00,676089.81,5295463.50
536.00,676305.93,5295263.50
538.00,676427.75,5295507.50
539.00,676239.50,5295691.00
540.00,676472.18,5295804.50
541.00,676253.06,5295948.00
544.00,671250.06,5290942.50
543.00,671349.87,5291168.50
885.00,660774.68,5285864.00
890.00,660092.50,5285546.00
891.00,660291.68,5285397.50
892.00,660450.37,5285246.00
866.00,658265.12,5280316.50
867.00,658465.93,5280525.50
868.00,658087.37,5280562.00
864.00,658126.31,5281836.00
863.00,657959.18,5281650.00
563.00,654720.37,5288662.00
564.00,654913.87,5288574.50
557.00,654973.43,5289363.00
556.00,656181.81,5289903.50
554.00,656187.93,5290137.00
845.00,651543.25,5295825.50
836.00,645236.93,5285295.00
837.00,645059.43,5285395.00
835.00,645731.93,5285680.00
402.00,657036.12,5272629.00
403.00,656867.43,5272798.00
529.00,649644.12,5274839.00
528.00,649842.43,5274800.50
521.00,648333.00,5274599.50
432.00,617649.50,5271904.00
434.00,618144.50,5271965.50
413.00,629892.43,5289277.00
452.00,603314.68,5284608.00
453.00,603199.50,5284432.00
454.00,603196.68,5284160.50
468.00,606993.06,5284502.50
467.00,606831.06,5284643.00
469.00,607213.12,5284462.50
472.00,608063.37,5284672.00
437.00,605335.06,5288033.00
438.00,605199.25,5287862.50
439.00,605048.75,5287712.00
440.00,604855.18,5287604.00
445.00,603982.43,5287273.00
819.00,605769.31,5293198.50
820.00,605481.75,5293120.50
818.00,605829.25,5292968.00
484.00,594243.93,5283682.00
476.00,598025.37,5285442.50
478.00,598466.93,5285601.50
477.00,598219.18,5285534.50
827.00,596094.00,5292183.50
828.00,595987.81,5292482.00
829.00,596090.81,5292661.50
490.00,591033.43,5287291.00
486.00,591495.50,5287580.00
491.00,590660.56,5286780.00
488.00,591161.81,5287478.00
501.00,588352.12,5283399.50
500.00,588515.81,5283524.50
503.00,588855.62,5282853.50
